Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
TNNC2	9606.ENSP00000361636	6	0.0109910557975712	0.232758620689655	0.00270603934505043	0.00262626351247471	-0.453844108146051	172	0.397674
ADH1B	9606.ENSP00000306606	10	0.000292468553926658	0.245640636846096	0.0337459981817146	0.00251975860148206	-0.470611572986092	173	0.4
DUOXA2	9606.ENSP00000319705	10	1.0589145916343e-05	0.25796178343949	0.0220836746884312	0.00263876252785434	-0.476144040867012	174	0.402326
DUOXA1	9606.ENSP00000267803	10	1.0589145916343e-05	0.25796178343949	0.0220836746884312	0.00263876252785313	-0.476144040867584	175	0.404651
BMP6	9606.ENSP00000283147	8	0.00350192443215699	0.251162790697674	0.0163985669184486	0.00269200571091851	-0.496023582684156	176	0.406977
MYO18B	9606.ENSP00000386096	6	0.00699300699300699	0.189362945645821	0.000197927037194156	0.00362392844736186	-0.527317260539618	177	0.409302
PDE4D	9606.ENSP00000345502	8	0.00189412777882448	0.273879966187658	0.0219745046547468	0.00239440642683508	-0.55510920060418	178	0.411628
MSMB	9606.ENSP00000463092	8	0.00218453191218843	0.254716981132075	0.0427832107708231	0.00205011834359401	-0.60524852858197	179	0.413953
TSPAN8	9606.ENSP00000377003	6	0.00768642150647825	0.252730109204368	0.00737110081573733	0.00242069494509777	-0.607363090397882	180	0.416279
INA	9606.ENSP00000358865	8	0.000776826920835379	0.274343776460627	0.0374556826072621	0.00208882650252908	-0.617995433374968	181	0.418605
SCNN1G	9606.ENSP00000300061	8	0.00166902032390279	0.277397260273973	0.027100734042322	0.00213434826681647	-0.621729480613605	182	0.42093
GCM1	9606.ENSP00000259803	6	0.00543279583334927	0.255722178374112	0.0131688495908329	0.00253131698251235	-0.629877813213498	183	0.423256
